INVENTARNUMMER;TYP;BESCHRIFTUNG;THEMATISCHE ZUORDNUNG;PUBLIKATION;ORT;JAHR;RELEVANZ;INHALT;FOTO;KOMMENTAR;Ges.anzahl;;;;;
I.2.8.d;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau; Basse Cour";Rf;;;;;1 Notiz;;;1;;;;;
I.2.8.e;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau; Grand Basse-Court";Rf;;;;;11 Notizen;;;11;;;;;
I.2.8.f;Sammlung lose Blätter;"Verschiedene Teile. Fontainebleau; Meister. Fontainebleau";Rf;;;1901;;9 Notizen, 1 Zeitungsausschnitt (Chronique des Arts 1901);;;10;;;;;
I.2.9.a;Sammlung lose Blätter;Die Phasen (fertige Resume);Rf;;;;;11 Notizen;;;11;;;;;
I.2.9.b;Sammlung lose Blätter;Die Phasen (fertige Resume);Rf;;;;;14 Notizen;;;14;;;;;
I.2.9.c;Sammlung lose Blätter;Die Phasen (fertige Resume);Rf;;;;;19 Notizen;;;19;;;;;
I.2.9.d;Sammlung lose Blätter;"Die Phasen (fertige Resume); Symmetrie der Phasen";Rf;;;;;5 Notizen (2 Zeittabellen);150-6241;Eine Zeittabelle entnommen (AUSSTELLUNG);7;;;;;
I.2.9.e;Sammlung lose Blätter;"Die Phasen (fertige Resume); Louis XIII";Rf;;;;;"1) (Allgem. Architekt. Charakter, Privatbau) 11 Notizen; 2) (Verschiedene Stilrichtungen) 9 Notizen; 3) (Widersprüche in franz. Autoren) 13 Notizen; 4) (Gruppe Salomon de Brosse) 6 Notizen; 5) (Moralisch-Aestetische Fragen) 3 Notizen";;;42;;;;;
I.2.9.f;Sammlung lose Blätter;"Die Phasen (fertige Resume); L. 14, erster Stil";Rf;;;;;"1 Notiz, 1) (Anna v. Österreich) 7 Notizen; 2) (Stilrichtunge der Zeit L. XIV.) 5 Notizen; 3) (Beispiele) 11 Notizen; 4) (Abnehmen mannhaften Charakters) 8 Notizen";;;32;;;;;
I.2.9.g;Sammlung lose Blätter;"Die Phasen (fertige Resume); L. 14., 2. Stil";Rf;;;;;"1) (...) 5 Notizen; 2) (Daten) 7 Notizen; 3) (louis XIV. u. Lebrun) 11 Notizen; 4) (Le Noble) 7 Notizen; 5) (Les Cosmopolite) 2 Notizen";;;32;;;;;
I.2.9.h;Sammlung lose Blätter;"Die Phasen (fertige Resume); Louis 15";Rf;;;;;"3 Notizen, 1) (Stilrichtung des Louis 15.); 2) (Gruppe B) 53 Notizen; 3) (Zu den Phasen) 12 Notizen; 4) (Stilnamen der Phasen) 11 Notizen";;;82;;;;;
I.2.10.a;Sammlung lose Blätter;"Die Bauherren; Könige und Regenten";Rf;;;1897;;9 Notizen, 1 Zeitungsausschnitt (09.1897);;;10;;;;;
I.2.10.b;Sammlung lose Blätter;"Die Bauherren; Offizielle Bestellungen";Rf;;;;;13 Notizen;;;13;;;;;
I.2.10.c;Sammlung lose Blätter;"Die Bauherren; Méceneu u. Protektoren";Rf;;;;;23 Notizen;;;23;;;;;
I.2.10.d;Sammlung lose Blätter;"Die Bauherren; Finanziers";Rf;;;1897;;"19 Notizen; 1 Zeitungsausschnitt (04.09.1897)";;;20;;;;;
I.2.11.a;Sammlung lose Blätter;"Personen; Revue Bleue";S (?);;;1897;;"1 Broschüre (Reveu Bleue; 08.1897)";;;1;;;;;
I.2.11.b;Sammlung lose Blätter;"Personen; Embleme";S (?);;;;;3 Notizen ;;;3;;;;;
I.2.12.a;Broschüre;o. Aufschrift (Div. Broschüren u. Zeitungsausschnitte);S;;;1899;;1 Broschüre (Die Zukunft Mai 1899);;;1;;;;;
I.2.12.b;Sammlung lose Blätter;o. Aufschrift (Div. Broschüren u. Zeitungsausschnitte);S;;;1898, 1899, 1900, 1901;;"2 Notizen, 10 Zeitungsausschnitte (deutsche u. französische: Chronique 1898, 1899; L'aurore 1899; Schweizer Zeitung 1900; L'eglise libre 1899; Beilage zur allgemeinen Zeitung 1901)";;;12;;;;;
I.3.1.a;Sammlung lose Blätter;II Buch (2);Rf;;;1896;;"1) (Die Quellen) 93 Notizen und Exzerpte; 2) (Die Quellen des Absolutismus) 26 Notizen und Exzerpte; 3) (Führende Stellung des Königs) 32 Notizen; 4) (Geist zentraler Einheit) 25 Notizen und Exzerpte; 5) (...) 39 Notizen (div.Überschriften); 6) (Die Akademien) 20 Notizen; 7) (Cosmopolitische Richtung) 3 Notizen; 8) (Über den Einfluss der Gesetze, 01.09.1896) 14 Notizen";;;252;;;;;
I.3.1.b;Sammlung lose Blätter;"II Buch (2); Qualites de l'Esprit Geometrique";Rf;;;;;"1) Franz. Liebe für das Absolute) 10 Notizen; 2) (La Raison) 15 Notizen; 3) (La Penseé) 2 notizen; 4) (La Logique) 3 Notizen; 5) (Geist der Ordnung) 4 Notizen; 6) (Amour de la Precesion) 2 Notizen; 7) (Amour de la Forme) 1 Notiz";;;37;;;;;
I.3.1.c;Sammlung lose Blätter;II Buch (2);Rf;;;;;"1) (Esprit Parisien) 7 Notizen; 2) (Esprit Bourgeois) 2 Notizen; 3) (Les vides das Fehlende im 17. Jh.) 8 Notizen; 4) 14 Notizen (4 Umschläge mit div.Beschriftungen); 5) Überschätzung des menschlichen Möglichen) 2 Notizen; 7) (Auflösung des Esprit) 1 Notiz; 8) (moralische Krankheiten der Renaissance) 2 Notizen";;;38;;;;;
I.3.1.d;Sammlung lose Blätter;II Buch (2);Rf;;;;;"9 Notizen (3 Umschläge mit div.Beschriftungen: Das religiöse Gefühl; Ernst der Epoche; Einfluss von der Mythologie)";;;9;;;;;
I.3.1.e;Sammlung lose Blätter;II Buch (2);Rf;;;;;63 Notizen (5 Umschläge, div.Beschriftungen: Die Natur, Geschmack, Rolle der Frauen, Geselligkeit, Hofleben);;;63;;;;;
I.3.1.f;Sammlung lose Blätter;"II Buch (2); Einzel Studie";Rf;;;;;"18 Notizen (3 Umschläge, div. Beschriftungen: Louis XVI: Directoire; Empire)";;;18;;;;;
I.3.2.a;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Für die Phasen Louis 15";Rf;;;;;"123 Notizen (6 Umschläge; div. Aufschriften: 1) Régence; 2) 1700-1713 teilweiser Untergang des strengen Stil; 3) L. 15. zu den strengen Phasen; 4) Watteau & Cuvilliers; 5) Zu Rückgriff des 18. Jhds. Auf Barocco; 6) Stilbezeichnungen)";;;123;;;;;
I.3.2.b;Sammlung lose Blätter;"Zum Charakter des 17. und 18 Jhds.; Genese des Gillot Watteau Außenarchitektur 1732-1770";Rf;;;;;4 Notizen;;;4;;;;;
I.3.2.c;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Louis XV. Das Jhd. Voltaires. Zur Dek. Louis XV.";Rf;;;;;26 Notizen;;;26;;;;;
I.3.2.d;Sammlung lose Blätter;Zum Charakter des 17. und 18. Jhds.;Rf;;;;;"8 Notizen (3 Umschläge; dvi. Aufschriften: Natürlichkeit und Volksbelustigung; Die Verbindungen zwischen den freien Strömungen; Louis XV)";;;8;;;;;
I.3.2.e;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Genesis der Formen ... Louis 15";Rf;;;;;19 Notizen;;;19;;;;;
I.3.2.f;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Louis XIV. Zum allgemeinen Charakter des Stils";Rf;;;;;"96 Notizen (9 Umschläge div. Aufschriften: Historische Elemente; 2 Stile Louis XIV; Programm der antiken Kunst; Le Brun; Ludwig XIV. apotheose unico; Meister; Beispiele; Beginn des freien (?) )";;;96;;;;;
I.3.2.g;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Zum Charakter des XVII. Jhd. Geordnet 19.05.97";Rf;;;1897;;"1) Allgemeine Charakterzüge des 17. Jhd.) 41 Notizen; 2) (Die geistigen Faktoren) 101 Notizen und Exzerpte; 3) (Verschiedene Nat. im 17. Jhd.) 23 Notizen und Exzerpte";;;165;;;;;
I.3.2.h;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Raison Descartes et Methode";Rf;;;;;"20 Notizen (5 Umschläge; div.Aufschriften: Raison Descartes; Jansenisten; Jesuiten; Protestanten; 1690-1714 Englische Einflüsse)";;;20;;;;;
I.3.2.i;Sammlung lose Blätter;"Zum Charakter des 17. und 18. Jhds.; Klassische Blütezeit";Rf;;;;;"43 Notizen (4 Umschläge div. Aufschriften: Periode höchster Blüte; stilcharakter; Charakter von 1640-1680; Hochrenaissanceströmungen)";;;43;;;;;
I.3.3;Manuskript (handschriftlich);Gedrucktes Ms 2te Paginatur. 1-457 (Franz. Renaissance);Rf;;;;;"457 Blätter Manuskript (Marginalien und Überschriften Geymüllers); von Kap. 5 (Entwicklungsperioden und Phasen der franz. Architektur seit dem Beginn der Renaissance) - 5e (Spätrenaissance) gebündelt";;von Kap. 5 (Entwicklungsperioden und Phasen der franz. Architektur seit dem Beginn der Renaissance) - 5e (Spätrenaissance) gebündelt;457;;;;;
I.3.4.a;Sammlung lose Blätter;"I Evolution, im II. Buch zu verteilen (Franz. Ren.); I Evolution";Rf;;;;;"9 Mappen ohne Aufschrift: 1) 7 Notizen; 2) 46 Notizen (in 5 Mappen); 3) 22 Notizen (in 2 Mappen); 4) 4 Notizen; 5) 87 Notizen (in 12 Umschlägen); 6) 1 Notiz; 7) 1 Notiz; 8) 1 Notiz; 9) 6 Notizen";;;177;;;;;
I.3.4.b;Sammlung lose Blätter;"I Evolution, im II. Buch zu verteilen (Franz. Ren.); Im II. Buch zu verteilen";Rf;;;;;187 Notizen (z.T. in 16 Umschlägen), 19 Zeitungsausschnitte, 1 Skizze;150-6242, 150-6243;;206;;;;;
I.3.4.c;Sammlung lose Blätter;"I Evolution, im II. Buch zu verteilen (Franz. Ren.); Architektur";Rf;;;;;1 Notiz (Genua);;;1;;;;;
I.4.1.a;Sammlung lose Blätter;"ad Karton I; I Gebäudeklassen 1. Residenenzen. Häuser";Rf;;Würzburg;;;"1) (Viollet le Duc) 4 Notizen (Exzerpte?); 2) (Residenzen) 16 Notizen und Skizzen (z.T. in 10 Umschlägen); 3) Entwicklung der Schlossanlage) 120 Notizen, 1 Zeitungsausschnitt (Le Monde Moderne 1897 [8 Abbildungen Chateaux de France], 1 Abbildung; 4) (Justizpalast) 1 Notiz; 5) (Stadthäuser. Hotel de Ville) 13 Notizen und Skizzen; 6) (Hotels) 32 Notizen (z.T. in 3 Umschlägen); 7) (Häuser) 26 Notizen und Skizzen (z.T. in 2 Umschlägen); 8) (Theaterbau) 6 Notizen und Skizzen; + 3 Notizen; Visitenkarte (Geymüller), Skizzen (Würzburg), Broschüre (Chateaux de France), 1 Reproduktion";150-6244, 150-6245;;221;;;;;
I.4.1.b;Sammlung lose Blätter;"ad Karton I; 4 Gebäude Theile";Rf;;;;;"1) (Thore) 24 Notizen und Skizzen; 2) (Thurmbau) 11 Notizen; 3) (Thürme und Pavillons) 9 Notizen; 4) (Pavillons) 10 Notizen; 5) (Loggien) 6 Notizen; 6) Gallerien) 8 Notizen; 7) (Dächer) 29 Notizen; 8) (Innere Räume) 64 Notizen (in 10 Umschlägen)";;;161;;;;;
I.4.1.c;Sammlung lose Blätter;"ad Karton I; 2 Villen. Städte";Rf;;;1896, 1900;;"1) (Villenartige Anlagen) 99 Notizen und Skizzen (in 4 Mappen; div. Aufschriften: Allgemein hist.; Klassen; Gärten); (Garten) 228 Notizen (in 10 Einzelumschlägen); 2) (Stadtthore) 8 Notizen; 3) (Stadtplätze) 40 notizen, 2 Zeichnungen (stadtgrundrisse), 2 Zeitungsausschnitte (Badener Tagblatt 1900; Le Figaro 1896); 4) (Festdekorationen und Einzüge) 8 Notizen; außerdem: 2 Duschzeichnungen, Skizzen (u.a. Grotten, Kuppeln, Architekturdetails), Skizze auf Milchpapier";150-6246,  150-6247, 150-6248, 150-6249, 150-6250, 150-6251, 150-6252, 150-6253, 150-6254, 150-6255, 150-6256, 150-6257;;387;;;;;
I.4.1.d;Sammlung lose Blätter;"ad Karton; Grundriss u. Fassade. Composition";Rf;;;;;"1) (Entwicklung der Grundrisse) 63 Notizen (4 Mappen mit Einzelblättern); 2) (Fassaden. Composition) 50 Notizen und Skizzen (6 Mappen mit Einzelblättern)";;;113;;;;;
I.4.2.a;Sammlung lose Blätter;II, 5 Säulenordnungen;Rf;;;;;"1) (Paris. St. Etienne) 2 Notizen; 2) Säulenordnungen) 276 Notizen und Skizzen (7 Umschläge;  div. Titel)";;;279;;;;;
I.4.2.b;Sammlung lose Blätter;II, 6 Glieder 2.Ranges;Rf;;;;;"1) (Thüren u. Fenster) 56 Notizen; 2) (Kamine) 14 Notizen; 3) (Giebelbekrönungen) 2 Notizen; 4) (Gesimse u. Balustraden) 10 Notizen; 5) (Schornsteine) 2 Notizen; 6) (Gitter) 18 Notizen";;;102;;;;;
I.4.2.c;Sammlung lose Blätter;II, 7 Detailbehandlung;Rf;;;;;53 Notizen (3 Umschläge mit Einzelblätter);;;53;;;;;
I.4.2.d;Sammlung lose Blätter;II, 8 Decoration;Rf;;;;;"1) (Dekoration allgemeines) 156 Notizen, 1 Zeitungsausschnitt (Berliner Neue Nachrichten 1899); 2) (Fussboden, Wände, Decken) 81 Notizen, 1 Zeitungsauschnitt (1898); 3 (Dekorationsmittel) 46 Notizen, 1 Zeitungsausschnitt (Chronique des Arts 1898); 5) (Kleinkpnste) 3 Notizen; 1 Skizze, 1 Buchprospekt";;;328;;;;;
I.4.2.e;Sammlung lose Blätter;II, Aesthetische Fragen;Rf;;;;;"1) (Verhältnisse) 17 Notizen und Skizzen; 2) (Ansichten über Kunsfragen) 14 Notizen; 1 Einladung (Sitzung der Societè Mineralien und Metallogie, 1894)";150-6258;;31;;;;;
I.4.3.a;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; 17. Kap.e, einz.Theile des Auß. Der Kirchen 1435-1580";Rf;;;;;"1) (1435-1527) 93 Notizen; 2) (4. Die Portale und Thüren) 32 Notizen; 3) (Fenster der Frührenaissance) 28 notizen; 4) (arcaturen, Bekrönungen) 11 Notizen";;;164;;;;;
I.4.3.b;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; 18. Kap.e, einzelne Theile des Inneren";Rf;;;;;86 Notizen (6 Umschläge mit Einzelblätter);;;89;;;;;
I.4.3.c;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; 19. Kap., g, Intensität der Bautätigkeit den Provinzen";Rf;;;;;19 Notizen;;;19;;;;;
I.4.3.d;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; 20. Kap., h, Die Bauten der Hugenotten";Rf;;;;;56 Notizen;;;56;;;;;
I.4.3.e;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; 21. Kap., i, Die Grabmäler";Rf;;;;;"1) (Grabmäler der Frührenaissance) 78 Notizen; 2) (Das Grabmal L. de Breze in Rouen) 17 Notizen; 3) (Grabmal Franz I.) 10 Notizen; 4) (Mausoleum in Valois) 17 Notizen; 5) (Phasen der Ausführung) 26 Notizen; 6) (Beweise für Autorenschaft Primaticcio's) 30 Notizen; 7) (Grabmäler der Hochrenaissance) 5 Notizen; 8) (Andere Typen) 22 Notizen; 9) (Ideal oder Christus-Gräber) 29 Notizen";;;234;;;;;
I.4.3.f;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; Blick auf die Innendekoration der Kirchen";Rf;;;;;44 Notizen ;;;44;;;;;
I.4.3.g;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; Klosteranlagen u. Klosterhöfe";Rf;;;;;19 Notizen ;;;19;;;;;
I.4.3.h;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; Spitäler";Rf;;;;;10 Notizen;;;10;;;;;
I.4.3.i;Sammlung lose Blätter;"Bd. II, 3. Teil, Kirchenbau; Gesamtüberblick, Würdigung der Fähigkeiten";Rf;;;;;204 Notizen;;;204;;;;;
I.5.1.a;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Grenzen u. Schwierigkeiten unserer Arbeiten";Rf;;;;;21 Notizen;;;21;;;;;
I.5.1.b;Sammlung lose Blätter;"o.Umschlag, num. 1-588; II Widersprüche in der Aufklärung";Rf;;;;;26 Notizen;;;26;;;;;
I.5.1.c;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Dauer der Renaissance";Rf;;;;;14 Notizen;;;14;;;;;
I.5.1.d;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Begriff der Renaissance";Rf;;;;;33 Notizen ;;;33;;;;;
I.5.1.e;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Definition der Renaissance";Rf;;;;;44 Notizen;;;41;;;;;
I.5.1.f;Sammlung lose Blätter;o.Umschlag, num. 1-588;Rf;;;;;116 Notizen;;;116;;;;;
I.5.1.g;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Kapitel IV";Rf;;;;;148 Notizen;;;148;;;;;
I.5.1.h;Sammlung lose Blätter;"o.Umschlag, num. 1-588; Übergangsstil";Rf;;;;;126 Notizen;;;126;;;;;
I.5.2.a;Sammlung lose Blätter;"o.Umschlag, num. 1-589-1222; Frührenaissance";Rf;;;;;158 Notizen;;;158;;;;;
I.5.2.b;Sammlung lose Blätter;"o.Umschlag, num. 1-589-1222; Hochrenaissance";Rf;;;;;173 Notizen (5 Umschläge mit Einzelblättern);;;173;;;;;
I.5.2.c;Sammlung lose Blätter;"o.Umschlag, num. 1-589-1222; Einfluss der Meister der Hochrenaissance";Rf;;;;;153 Notizen;;;153;;;;;
I.5.2.d;Sammlung lose Blätter;"o.Umschlag, num. 1-589-1222; Charakter der Hochrenaissence ";Rf;;;;;51 Notizen;;;51;;;;;
I.5.2.e;Sammlung lose Blätter;"o.Umschlag, num. 1-589-1222; Die Spätrenaissance";Rf;;;;;84 Notizen;;;484;;;;;
I.5.3.a;Sammlung lose Blätter;"o.Umschlag; 576-642";Rf;;;;;69 Notizen;;;69;;;;;
I.5.3.b;Sammlung lose Blätter;"o.Umschlag; provisorisch geordnet";Rf;;;;;99 Notizen;;;99;;;;;
I.5.3.c;Sammlung lose Blätter;"o.Umschlag; 819-876";Rf;;;;;58 Notizen;;;58;;;;;
I.5.3.d;Sammlung lose Blätter;"o.Umschlag; Salomon de Brosse (Ms behalten zur Orientierung)";Rf;;;;;100 Notizen;;;100;;;;;
I.5.3.e;Sammlung lose Blätter;"o.Umschlag; 744-818";Rf;;;;;77 Notizen;;;77;;;;;
I.5.3.f;Sammlung lose Blätter;"o.Umschlag; Die kirchliche Baukunst";Rf;;;;;235 Notizen;;;235;;;;;
I.5.3.g;Sammlung lose Blätter;"o.Umschlag; Salomon de Brosse";Rf;;;;;55 Notizen;;;55;;;;;
I.5.3.h;Sammlung lose Blätter;"o.Umschlag; Bauten der Jesuiten";Rf;;;;;52 Notizen;;;52;;;;;
I.5.3.i;Sammlung lose Blätter;"o.Umschlag; Ludwig XIV. u. Ludwig XV.";Rf;;;;;65 Notizen;;;65;;;;;
I.5.4;Sammlung lose Blätter;Kapitelle 15;Rf;;;;;244 Notizen;;;244;;;;;
I.5.5.a;Sammlung lose Blätter;"Kuppelbau; Der Kuppelbau (Einleitendes)";Rf;;;;;65 Notizen;;;65;;;;;
I.5.5.b;Sammlung lose Blätter;"Der Kuppelbau; Der Kuppelbau während der ersten Periode";Rf;;;;;55 Notizen;;;95;;;;;
I.5.5.c;Sammlung lose Blätter;"Der Kuppeklbau; o.Umschlag";Rf;;;;;41 Notizen;;;41;;;;;
I.5.6;Manuskript ;Franz. Ren. Bd. I, Register ;Rf;;;1899;XXX;1 Register (61 Notizen), 1 Brief (Bordeaux 1899);150-6259, 150-6260, 150-6261;;63;;;;;
I.5.7.a;Sammlung lose Blätter;"o.Umschlag; Gisors, Chateau";Rf;;;1895;XXX;7 Fotografien, 12 Skizzen;150-6262, 150-6263, 150-6264  ;;19;;;;;
I.5.7.b;Sammlung lose Blätter;"o. Umschlag; Du Cerceau (London)";Rf (DC);;;;;11 Notizen und Skizzen, 9 Fotos;;;20;;;;;
I.5.7.c;Sammlung lose Blätter;"o.Umschlag; par Charvel (Lyon)";Rf;;;;;24 Notizen (Exzerpte);;;24;;;;;
I.5.7.d;Sammlung lose Blätter;"o.Umschlag; Aubils";Rf;;;;;6 Notizen;;;6;;;;;
I.5.7.e;Sammlung lose Blätter;"o.Umschlag; Fontainbleau";Rf;;;;;48 Notizen;;;48;;;;;
I.5.7.f;Sammlung lose Blätter;"o.Umschlag; Gehört in den Bd. I der Franz. Ren.";Rf;;;;;3 Notizen;;;3;;;;;
I.6.1.a;Sammlung lose Blätter;"Franz. Ren.; Elemente bei der Hand zu haben";Rf;;;;;66 Notizen und Skizzen;;;66;;;;;
I.6.1.b;Sammlung lose Blätter;"Franz. Ren.; o.Umschlag";Rf;;;;;"81 Notizen und Skizzen (7 Umschläge mit div. Aufschriften: Allgemein zu H 4; Architektur unter XIII; Begriff und Dauer der Rocaille; Französischer Charakter; Einfluss von Rubens; Genre Ansiculaire; notizen aus Guilmard)";;;81;;;;;
I.6.1.c;Sammlung lose Blätter;"Franz. Ren.; Auszüge, Stilkonfusionen (Dohme, Zahn, Gurlitt)";Rf;;;;;34 Notizen und Skizzen (5 Umschläge), Exzerpte (Gurlitt);;;35;;;;;
I.6.1.d;Sammlung lose Blätter;Franz. Ren.: Stilnamen ;Rf;;;1896, 1897;XXX;"44 Notizen und Skizzen, 1 Brief (Peter Jetten [Jessen?]; königliche Bibliothek Kunstgewerbliches Museum in Berlin 1897), 1 Brief von Vera, 1 Jahresbericht von l'Ecole Central, 1 Buchprospekt (G. Ebe, Spätrenaissance), Übersichtstabelle RF";150-6265, 150-6266, 150-6267, 150-6268, 150-6269, 150-6270, 150-6271, 150-6272, 150-6273, 150-6274, 150-6275;2 Transparentpapiere entnommen für AUSSTELLUNG;48;;;;;
I.6.1.e;Sammlung lose Blätter;"Franz. Ren.; Stilformen";Rf;;;;;"52 Notizen und Skizzen (8 Umschläge mit div.Aufschriften; Skizzen pompejanische Wandmalereien) ";150-6269, 150-6270, 150-6272, 150-6273, 150-6272, 150-6273, 150-6274, 150-6275, 150-6276, 150-6277, 150-6278, 150-6279, 150-6280, 150-6281;;52;;;;;
I.6.2.a;Sammlung lose Blätter;FR Zur Religionsfrage;Rf;;;1900;;1 Beilage zur Allgemeinen Zeitung (Sep. 1900);;;1;;;;;
I.6.2.b;Sammlung lose Blätter;"FR Zur Religionsfrage; Zum Nazionealen ";Rf;;;;;24 Notizen;;;27;;;;;
I.6.2.c;Sammlung lose Blätter;"FR Zur Religionsfrage; erledigt aber neu zu verteilen";Rf;;;1897;;6 Notizen, 1 Zeitungsausschnitt (L'eglise libre, August 1897);;;7;;;;;
I.6.2.d;Sammlung lose Blätter;"FR Zur Religionsfrage; Erledigt aber zu behalten";Rf;;;;;"1) (Charakter der Renaissance im 16. Jhd.) 3 Notizen; 2) (Verlauf der germ. ... U. goth. Cath.) 2 Notizen; 3) (1610-1660) 9 Notizen; 4) (Henri IV) 12 Notizen; 5) (Fortdauer der Hochren.) 45 Notizen; 6) (Der Kessel) 54 Notizen; 7) (Vorläufig erledigt) 45 Notizen; 8) Erledigt aber zu behalten) 4 Notizen; 9) (Louis XVI. erledigt) 8 Notizen";;;182;;;;;
I.6.2.e;Sammlung lose Blätter;"FR Zur Religionsfrage; Erledigt aber zu behalten zum 17. Jhd.";Rf;;;1896;;"1) (Freiheit u. ihre Unterdrückung) 13 notizen; 2) (Möglichkeiten einer Fusionspolitik) 3 Notizen; 3) (Heinrich IV in Sully) 17 notizen; 5) (Charakter der Zeit) 58 Notizen; 6) (Jesuiten. Janenisten. Cartesianisme) 26 Notizen; 7) (Heinrich IV. Reaktion) 45 Notizen; 8) (Nach Destailleur. Epochen) 1 NOtiz; 9) (Gespräch mit J. Burkhardt) 45 Notizen (05.1896); 10) (Unterschied der 2 franz. Strömungen) 2 Notizen; 11 (provisorisch erdledeigt) 20 Notizen; 12) (Geist der Hugenottenkämofe) 8 Notizen; 13) (Charakter der Hugenottenzeit) 8 Notizen; 14) (Elemente des fläm.-holl. Einfl.) 16 Notizen; 15) (Charakter der II. Periode) 5 Notizen; 16) (Extraire diverses notices) 21 notizen und Exzerpte; 17) (Protestanten) 19 Notizen, 1 Zeitungsausschnitt (L#Eglise libre 1896)";150-6282;;275;;;;;
I.6.3.a;Sammlung lose Blätter;"o. Umschlag; n 200-403";Rf;;;;;172 Notizen;;;172;;;;;
I.6.3.b;Sammlung lose Blätter;"o. Umschlag; 404-575";Rf;;;;;173 Notizen;;;173;;;;;
I.6.3.c;Sammlung lose Blätter;"o. Umschlag; 1-78 Fortsetzung des Manuscrips zu Bd. II. 6";Rf;;;;;78 Notizen;;;78;;;;;
I.6.3.d;Sammlung lose Blätter;"o. Umschlag; 79-194";Rf;;;;;116 Notizen;;;116;;;;;
I.6.3.e;Sammlung lose Blätter;"o. Umschlag; o. Umschlag";Rf;;;;;"1) (Rustica. nicht verwendet) 39 Notizen; 2) (Sprache Calvins) 10 Notizen; 3) (Idealbau) 60 notizen, 1 Zeitungsauschnitt (Leichenbegehnis Stehlin); 4) (Große Ordnung. Nicht verwendet) 31 Notizen; 5) (abzuschließen) 29 Notizen und Skizzen (davon mind. 1 Skizze)";150-6283;;170;;;;;
I.6.3.f;Sammlung lose Blätter, Manuskript ;"o. Umschlag; o. Umschlag";Rf;;;;XXX;"1) (Einzelne Charakterzüge) 65 Notizen; 2) (Zum Abschluss der Ren. in Frankreich) 4 Notizen; 3) (...) 3 Notizen; 4) (Franzosen, Decorateure) Manuskript (Namensliste)";150-6284;;95;;;;;
I.6.3.g;Sammlung lose Blätter;"o. Umschlag; Verhältnis der Renaissance zu Struktur u. Technik";Rf;;;;;"1) (Constructives und Technisches) 65 Notizen und Skizzen; 2) (Große Ordnung) 7 Notizen";;;72;;;;;
I.6.4.a;Sammlung lose Blätter;"Franz. Ren. noch nicht gut zu benutzen; Die Phasen der II. Periode";Rf;;;1896;;54 Notizen, 1 Zeitungsausschnitt (Les annales politiques et litteraires, 10.1896);;;55;;;;;
I.6.4.b;Sammlung lose Blätter;"Franz. Ren. noch nicht gut zu gebrauchen; o. Umschlag";Rf;;;1897;;98 Notizen und Skizzen (13 Umschläge mit Einzelblätter), 1 Zeitungsausschnitt (Chronique des arts 03.1897);;;99;;;;;
I.6.5.a;Sammlung lose Blätter;o. Umschlag;Rf;;;;;18 Notizen und Skizzen;;;18;;;;;
I.6.5.b;Sammlung lose Blätter;"o. Umschlag; Bode";Rf (?);;;1890;;5 Notizen, 1 Brief u. 1 Karte (W.v.Bodde 1890);150-6285, 150-6286, 150-6287, 150-6288, 150-6289, 150-6290;Notizen beziehen sich auf das Toskanawerk;7;;;;;
;;;;;;;;;;;;;;;;
II.1.1.a;Sammlung lose Blätter;"Erledigt. Fertige Illustrationen; Figurenliste nach Gegenständen verteilt";Rf;;;;;20 Notizen (Listen);;;20;;;;;
II.1.1.b;Sammlung lose Blätter;"Erledigt. Fertige Illustrationen; Pour le Photographie";Rf;;;;;"1) (Du Cerceau) 14 Notizen und Skizzen, 5 Drucke; 2) (Ruggieri) 4 Skizzen; 3) (Jean Marot) leer; 4) (Abraham de Brosse) 2 Notizen und Skizzen; 5) (Topographie en France) 8 ntizen und Skizzen; 6) (Recueils facticies) 6 Notizen und Skizzen; 7) (Im Louvre) 1 Notiz; 8) (M.v.Geymüller, Louvre) 5 Notizen; 9) Desins (?) originaux) 13 Notizen und Skizzen, 1 Druck";;;59;;;;;
II.1.1.c;Sammlung lose Blätter;Erledigt. Fertige Illustrationen;Rf;;;;XXX;34 Notizen (z.T. Oeuvrelisten von Künstlern) und Skizzen;;;34;;;;;
